customer_id,usual_amount_avg,usual_hours,usual_countries,usual_devices,usual_channel,account_creation_date,last_profile_update,issuer_bank,daily_limit,currency,timezone,segment
CU-0029,463414.82,07-20,AR,D-0029,mobile,2020-08-13,2025-12-28T06:56:35,BNA,2070518.52,ARS,America/Argentina/Buenos_Aires,retail
CU-0030,717.71,11-21,ES,D-0030,web,2023-02-02,2025-12-23T21:50:24,BBVA,4672.17,EUR,Europe/Madrid,retail
CU-0031,8489642.56,07-18,CL,D-0031,mobile,2021-06-15,2025-12-22T10:59:36,BCH,61080155.50,CLP,America/Santiago,business
CU-0032,6520.94,09-22,MX,D-0032,mobile,2023-03-23,2025-12-08T19:15:12,BAN,51034.57,MXN,America/Tijuana,retail
CU-0033,97227.64,08-21,AR,D-0033,mobile,2021-05-26,2025-12-21T22:08:11,BNA,485565.00,ARS,America/Argentina/Buenos_Aires,retail
CU-0034,922.37,07-18,PE,D-0034,mobile,2024-05-01,2025-12-16T06:04:21,BCP,3488.57,PEN,America/Lima,retail
CU-0035,283158.58,08-22,CL,D-0035,mobile,2020-12-05,2025-12-15T16:29:45,SAN,1650867.20,CLP,America/Santiago,premium
CU-0036,226.47,07-22,ES,D-0036,web,2023-01-05,2025-12-23T09:53:04,BBVA,698.84,EUR,Europe/Madrid,retail
CU-0037,1298.17,07-18,ES,D-0037,mobile,2024-04-16,2025-12-24T15:54:01,SAN,7956.87,EUR,Europe/Madrid,premium
CU-0038,651.28,09-19,ES,D-0038,web,2023-01-01,2025-12-29T18:42:36,CABK,5015.61,EUR,Europe/Madrid,retail
CU-0039,4274.87,09-22,PE,D-0039,web,2023-02-19,2025-12-18T02:22:16,BBVA,32175.89,PEN,America/Lima,retail
CU-0040,55166.76,07-20,MX,D-0040,web,2023-10-21,2025-12-18T12:10:28,BBVA,171919.47,MXN,America/Mexico_City,premium
CU-0041,53904.93,06-20,MX,D-0041,web,2022-04-18,2025-12-17T06:31:23,SAN,209539.12,MXN,America/Tijuana,business
CU-0042,5838.95,06-20,MX,D-0042,web,2020-01-20,2025-12-16T21:12:58,SAN,37364.75,MXN,America/Mexico_City,retail
CU-0043,56.22,09-18,ES,D-0043,web,2023-04-19,2025-12-26T14:15:52,SAN,423.16,EUR,Europe/Madrid,retail
CU-0044,23769826.07,10-21,CO,D-0044,web,2020-07-13,2025-12-21T09:57:38,DAV,137116604.45,COP,America/Bogota,business
CU-0045,822613.16,10-20,CL,D-0045,web,2025-10-19,2025-12-15T11:08:09,SAN,5499315.22,CLP,America/Santiago,business
CU-0046,942.21,11-22,ES,D-0046,mobile,2021-09-18,2025-12-27T01:04:28,SAN,6776.75,EUR,Europe/Madrid,retail
CU-0047,1184635.52,06-21,AR,D-0047,web,2020-04-04,2025-12-06T18:43:53,SAN,5770778.95,ARS,America/Argentina/Buenos_Aires,retail
CU-0048,1344131.11,11-20,CO,D-0048,web,2024-02-26,2025-12-20T07:40:38,BAN,6251906.82,COP,America/Bogota,retail
CU-0049,2883496.32,09-18,CO,D-0049,web,2020-06-21,2025-12-06T11:44:31,BAN,22522593.97,COP,America/Bogota,retail
CU-0050,22738.82,10-20,MX,D-0050,mobile,2024-04-03,2025-12-19T19:56:17,SAN,73150.87,MXN,America/Mexico_City,premium
CU-0051,3145.41,10-20,PE,D-0051,mobile,2020-11-12,2025-12-10T15:07:37,BCP,16584.82,PEN,America/Lima,retail
CU-0052,2130.71,07-21,US,D-0052,mobile,2023-12-05,2025-12-09T03:26:53,WFC,11332.16,USD,America/New_York,business
CU-0053,4506.12,09-22,PE,D-0053,web,2022-06-18,2025-12-19T04:46:24,BBVA,31853.65,PEN,America/Lima,premium
CU-0054,3367.91,10-22,US,D-0054,web,2025-11-03,2025-12-22T00:17:31,WFC,24687.86,USD,America/New_York,premium
CU-0055,8799003.87,11-20,CO,D-0055,web,2020-01-02,2025-12-09T02:00:20,BOG,43154312.22,COP,America/Bogota,premium
CU-0056,845471.56,10-20,AR,D-0056,web,2024-05-05,2025-12-10T09:18:16,BNA,4795287.57,ARS,America/Argentina/Buenos_Aires,retail
CU-0057,857406.38,10-22,AR,D-0057,mobile,2020-01-08,2025-12-02T07:38:25,GAL,3650160.90,ARS,America/Argentina/Buenos_Aires,premium
CU-0058,1792.93,07-21,US,D-0058,web,2023-05-27,2025-12-25T16:47:46,WFC,12831.74,USD,America/Denver,premium
CU-0059,13740.41,08-21,MX,D-0059,mobile,2021-02-18,2025-12-30T14:26:50,SAN,89592.95,MXN,America/Tijuana,retail
CU-0060,611.61,09-19,ES,,web,2020-05-04,2025-12-10T23:16:09,SAN,3213.74,EUR,Europe/Madrid,retail
CU-0061,340.66,11-22,ES,D-0061,mobile,2024-11-11,2025-12-16T10:50:46,SAN,1100.10,EUR,Europe/Madrid,premium
CU-0062,177527.44,11-21,CL,D-0062,mobile,2023-08-25,2025-12-03T02:26:28,SAN,667416.80,CLP,America/Santiago,retail
CU-0063,14641.15,10-19,MX,D-0063,mobile,2021-06-21,2025-12-06T00:04:40,BAN,46915.27,MXN,America/Tijuana,premium
CU-0064,594.18,08-18,US,D-0064,mobile,2020-09-22,2025-12-15T23:29:42,WFC,2763.23,USD,America/Los_Angeles,premium
CU-0065,2861.15,06-20,MX,D-0065,web,2025-11-22,2025-12-15T14:55:21,BAN,21005.15,MXN,America/Tijuana,premium
CU-0066,1280.48,10-19,ES,D-0066,mobile,2022-08-19,2025-12-07T02:46:22,BBVA,6802.77,EUR,Europe/Madrid,premium
CU-0067,7943166.10,07-20,CO,D-0067,web,2020-07-05,2025-12-28T09:38:56,BAN,28085923.74,COP,America/Bogota,premium
CU-0068,411979.44,06-18,CL,D-0068,web,2023-09-04,2025-12-10T02:40:44,SAN,2338674.55,CLP,America/Santiago,premium
CU-0069,1948939.40,06-21,CL,,web,2021-09-05,2025-12-06T19:25:33,BCI,13026929.97,CLP,America/Santiago,premium
CU-0070,14213910.43,06-22,CO,D-0070,mobile,2024-06-06,2025-12-23T15:03:29,BOG,85693876.41,COP,America/Bogota,premium
CU-0071,3022875.55,06-20,AR,D-0071,web,2024-04-24,2025-12-06T01:19:27,SAN,11689060.66,ARS,America/Argentina/Buenos_Aires,business
CU-0072,50.49,11-20,ES,D-0072,mobile,2020-02-15,2025-12-11T07:25:50,SAN,397.63,EUR,Europe/Madrid,retail
CU-0073,771.77,09-20,ES,D-0073,mobile,2020-04-17,2025-12-12T14:00:25,BBVA,6050.65,EUR,Europe/Madrid,premium
CU-0074,718423.95,09-22,,D-0074,web,2022-01-06,2025-12-18T23:09:04,SAN,2709761.21,ARS,America/Argentina/Buenos_Aires,retail
CU-0075,1188.45,07-21,US,D-0075,web,2024-09-17,2025-12-09T10:14:23,BAC,5480.86,USD,America/Denver,retail
CU-0076,1804794.03,11-21,CO,D-0076,mobile,2021-05-24,2025-12-11T08:33:11,BOG,13802425.34,COP,America/Bogota,retail
CU-0077,13385002.05,09-22,CO,D-0077,mobile,2022-09-05,2025-12-14T02:20:36,BAN,88447862.71,COP,America/Bogota,premium
CU-0078,3259907.22,09-18,CO,D-0078,web,2021-09-18,2025-12-08T07:38:39,DAV,18305445.43,COP,America/Bogota,retail
CU-0079,9212601.31,06-18,CO,D-0079,web,2025-12-06,2025-12-19T20:39:39,BOG,52501742.52,COP,America/Bogota,premium
CU-0080,165989.47,08-19,CL,D-0080,mobile,2023-01-20,2025-12-30T06:26:35,BCH,1277979.59,CLP,America/Santiago,retail
CU-0081,915263.59,08-18,AR,D-0081,mobile,2023-06-02,2025-12-10T04:58:09,BNA,5981158.15,ARS,America/Argentina/Buenos_Aires,retail
CU-0082,994445.90,09-22,AR,D-0082,mobile,2023-08-15,2025-12-29T07:04:28,SAN,3533424.09,ARS,America/Argentina/Buenos_Aires,retail
CU-0083,2377.59,08-20,ES,D-0083,mobile,2023-10-11,2025-12-27T04:19:10,BBVA,15692.53,EUR,Europe/Madrid,premium
CU-0084,443.90,07-20,US,D-0084,mobile,2025-10-14,2025-12-08T17:24:32,WFC,1836.31,USD,America/Los_Angeles,retail
CU-0085,658.72,09-22,ES,D-0085,mobile,2024-08-10,2025-12-17T08:53:50,SAN,2312.81,EUR,Europe/Madrid,retail
CU-0086,1124522.07,06-22,AR,,web,2021-04-22,2025-12-23T00:53:54,SAN,8577677.31,ARS,America/Argentina/Buenos_Aires,retail
CU-0087,457967.80,06-19,CL,D-0087,mobile,2020-05-26,2025-12-09T02:51:24,SAN,1499298.74,CLP,America/Santiago,retail
CU-0088,4445617.07,08-19,CO,D-0088,web,2020-11-27,2025-12-12T18:53:23,BAN,23688473.28,COP,America/Bogota,retail
CU-0089,216306.28,06-18,CL,D-0089,web,2022-06-26,2025-12-28T17:20:48,BCI,685560.22,CLP,America/Santiago,retail
CU-0090,4274.35,11-21,PE,D-0090,web,2024-08-17,2025-12-07T00:31:12,BBVA,16000.23,PEN,America/Lima,retail
CU-0091,1460179.55,11-22,CL,D-0091,web,2024-08-19,2025-12-18T00:13:50,BCI,10219665.42,CLP,America/Santiago,premium
CU-0092,653.05,07-20,US,D-0092,web,2023-01-08,2025-12-29T22:38:02,BAC,3398.35,USD,America/Chicago,retail
CU-0093,3162397.90,09-19,CO,D-0093,web,2024-08-01,2025-12-25T22:02:23,BOG,15950094.12,COP,America/Bogota,retail
CU-0094,2525336.24,06-22,CO,D-0094,web,2025-11-21,2025-12-01T14:07:33,BOG,15089502.49,COP,America/Bogota,retail
CU-0095,743677.01,09-21,AR,D-0095,web,2024-07-16,2025-12-18T06:09:06,BNA,5231210.56,ARS,America/Argentina/Buenos_Aires,retail
CU-0096,2768437.74,08-21,CL,D-0096,web,2023-02-02,2025-12-01T14:04:19,BCI,10004814.09,CLP,America/Santiago,premium
CU-0097,998.87,22-05,US,D-0097,web,2020-02-21,2025-12-12T02:51:57,BAC,4809.85,USD,America/Los_Angeles,retail
CU-0098,31042.65,11-18,PE,D-0098,mobile,2022-01-14,2025-12-09T07:01:44,BCP,168783.73,PEN,America/Lima,business
CU-0099,270653.92,11-21,,D-0099,mobile,2021-02-23,2025-12-05T10:05:17,BCH,1684893.96,CLP,America/Santiago,retail
CU-0100,712.99,06-22,US,D-0100,web,2021-12-23,2025-12-21T09:21:20,WFC,3115.96,USD,America/New_York,retail
CU-0101,949476.23,23-05,CL,D-0101,web,2025-11-23,2025-12-07T09:44:16,SAN,5684576.39,CLP,America/Santiago,retail
CU-0102,8830.97,07-21,MX;CL,D-0102,web,2020-03-21,2025-12-04T18:25:28,BBVA,49405.64,MXN,America/Monterrey,retail
CU-0103,1836094.50,08-19,CO,D-0103,web,2024-08-01,2025-12-26T03:46:19,BOG,12109464.66,COP,America/Bogota,retail
CU-0104,12213109.31,08-22,,D-0104,web,2021-09-26,2025-12-02T20:08:08,BAN,88325685.85,COP,America/Bogota,premium
CU-0105,18346.52,07-18,PE,D-0105,web,2022-03-18,2025-12-05T11:43:50,BBVA,118188.50,PEN,America/Lima,business
CU-0106,2186295.80,09-20,,D-0106,web,2020-01-10,2025-12-25T22:48:46,GAL,10504865.97,ARS,America/Argentina/Buenos_Aires,premium
CU-0107,3568234.48,10-18,CO,D-0107,mobile,2020-12-15,2025-12-27T08:44:25,BOG,25094699.93,COP,America/Bogota,retail
CU-0108,2179.51,07-22,US,D-0108,mobile,2025-10-08,2025-12-14T14:52:06,JPM,17429.03,USD,America/Denver,premium
CU-0109,1605.08,11-21,,D-0109,web,2022-02-27,2025-12-10T06:16:13,WFC,11198.18,USD,America/Los_Angeles,premium
CU-0110,2779115.09,08-22,CO,D-0110,web,2025-11-10,2025-12-26T22:22:43,BOG,15021976.97,COP,America/Bogota,retail
CU-0111,877116.17,11-18,CL,D-0111,web,2021-01-16,2025-12-13T09:43:01,BCI,4992551.78,CLP,America/Santiago,retail
CU-0112,4202454.82,10-22,CO,D-0112,mobile,2022-11-07,2025-12-14T19:28:48,BAN,13054283.15,COP,America/Bogota,retail
CU-0113,601856.96,09-18,AR,D-0113,mobile,2020-07-20,2025-12-05T00:29:48,SAN,3693913.53,ARS,America/Argentina/Buenos_Aires,retail
CU-0114,24722.04,09-19,MX,D-0114,mobile,2024-09-16,2025-12-01T20:45:14,BBVA,109671.79,MXN,America/Monterrey,premium
CU-0115,5554.16,08-19,PE,D-0115,web,2024-05-11,2025-12-28T05:38:55,IBK,20118.21,PEN,America/Lima,premium
CU-0116,2222754.64,07-18,AR,D-0116,web,2023-04-27,2025-12-08T19:28:53,BNA,16712047.13,ARS,America/Argentina/Buenos_Aires,premium
CU-0117,2558367.15,07-18,CO,D-0117,mobile,2020-01-26,2025-12-03T23:05:04,BAN,10625791.79,COP,America/Bogota,retail
CU-0118,1164468.02,08-21,AR,D-0118,mobile,2025-12-01,2025-12-27T09:34:49,GAL,8639106.06,ARS,America/Argentina/Buenos_Aires,retail
CU-0119,3587358.43,08-22,AR,D-0119,mobile,2024-09-09,2025-12-04T13:36:33,SAN,26859200.95,ARS,America/Argentina/Buenos_Aires,premium
CU-0120,5548.28,10-18,,D-0120,web,2020-02-12,2025-12-10T08:14:39,BCP,24217.12,PEN,America/Lima,premium
CU-0121,16118.90,09-20,MX,D-0121,web,2021-02-06,2025-12-05T15:12:27,BBVA,71035.26,MXN,America/Mexico_City,retail
CU-0122,446.75,11-22,PE,D-0122,web,2021-03-24,2025-12-08T01:39:26,BCP,3312.44,PEN,America/Lima,retail
CU-0123,16091.94,09-18,MX,D-0123,web,2022-09-13,2025-12-11T12:24:52,BAN,90216.27,MXN,America/Monterrey,retail
CU-0124,3662496.54,08-22,CO,D-0124,mobile,2020-03-23,2025-12-10T09:31:42,BAN,13891942.87,COP,America/Bogota,retail
CU-0125,1095006.51,07-22,AR,D-0125,web,2023-07-02,2025-12-13T13:26:48,BNA,3291152.18,ARS,America/Argentina/Buenos_Aires,retail
CU-0126,2033.75,10-20,PE,D-0126,mobile,2022-07-10,2025-12-09T01:27:59,IBK,9931.77,PEN,America/Lima,premium
CU-0127,7334029.27,09-21,AR,D-0127,mobile,2023-11-17,2025-12-12T21:16:09,GAL,50927755.28,ARS,America/Argentina/Buenos_Aires,business
CU-0128,431.45,07-19,PE,,mobile,2024-12-04,2025-12-27T02:51:11,IBK,1455.48,PEN,America/Lima,retail
CU-0129,10863.66,08-20,MX,D-0129,mobile,2021-02-14,2025-12-02T03:16:34,BBVA,50168.94,MXN,America/Mexico_City,business
CU-0130,590469.94,08-21,CL,D-0130,mobile,2021-04-22,2025-12-11T02:16:43,BCH,4209816.75,CLP,America/Santiago,retail
CU-0131,19727.16,09-20,MX,D-0131,web,2024-03-27,2025-12-01T05:14:33,BBVA,143747.88,MXN,America/Monterrey,retail
CU-0132,2957.84,09-20,PE;MX,D-0132,mobile,2020-01-21,2025-12-08T14:26:45,BBVA,14323.73,PEN,America/Lima,retail
CU-0133,63.49,09-22,ES,D-0133,mobile,2023-10-03,2025-12-20T13:14:24,BBVA,443.41,EUR,Europe/Madrid,retail
CU-0134,738076.35,09-21,AR,D-0134,web,2020-12-22,2025-12-22T20:52:01,SAN,4455421.68,ARS,America/Argentina/Buenos_Aires,retail
CU-0135,3996.32,11-19,MX,D-0135,mobile,2022-09-01,2025-12-28T05:40:07,SAN,21272.38,MXN,America/Tijuana,retail
CU-0136,682678.82,06-21,CO,D-0136,mobile,2020-10-08,2025-12-18T00:01:32,BAN,2874231.49,COP,America/Bogota,retail
CU-0137,1676.92,09-19,PE,D-0137,mobile,2025-12-06,2025-12-11T06:25:45,BBVA,5309.15,PEN,America/Lima,retail
CU-0138,994.66,09-18,US,D-0138,mobile,2022-03-27,2025-12-06T08:05:08,WFC,3188.80,USD,America/Denver,retail
CU-0139,9606.16,07-21,PE,D-0139,mobile,2023-11-07,2025-12-11T19:15:03,BBVA,70651.82,PEN,America/Lima,premium
CU-0140,951.41,06-21,US,D-0140,mobile,2022-02-22,2025-12-12T22:11:12,JPM,5141.91,USD,America/New_York,retail
CU-0141,1208384.34,09-22,CO,D-0141,mobile,2024-07-21,2025-12-23T18:43:17,DAV,9521254.49,COP,America/Bogota,retail
CU-0142,801.25,06-20,US,D-0142,web,2023-10-19,2025-12-03T21:14:32,WFC,3735.09,USD,America/Los_Angeles,retail
CU-0143,3879.50,10-21,PE,D-0143,web,2023-12-12,2025-12-30T19:59:23,BBVA,25743.76,PEN,America/Lima,retail
CU-0144,2372.05,23-05,PE,D-0144,mobile,2023-02-15,2025-12-02T03:05:38,BBVA,14090.67,PEN,America/Lima,retail
CU-0145,2924811.51,09-20,CO,D-0145,web,2021-08-21,2025-12-15T00:34:25,DAV,22116888.60,COP,America/Bogota,retail
CU-0146,5597435.62,07-22,CL;MX,D-0146,mobile,2024-09-22,2025-12-28T14:13:55,BCI,27227288.07,CLP,America/Santiago,business
CU-0147,3004.45,06-20,PE,D-0147,web,2020-12-02,2025-12-03T04:04:00,BCP,10444.39,PEN,America/Lima,retail
CU-0148,514672.18,08-19,CL,D-0148,web,2021-12-09,2025-12-01T04:19:07,BCI,2151459.57,CLP,America/Santiago,retail
CU-0149,776.51,09-21,ES,D-0149,web,2022-05-15,2025-12-05T11:36:48,SAN,2978.08,EUR,Europe/Madrid,retail
CU-0150,1520.97,11-21,ES,D-0150,web,2024-04-18,2025-12-14T01:08:36,BBVA,11135.14,EUR,Europe/Madrid,premium
CU-0151,14148.06,10-22,MX,D-0151,web,2024-01-17,2025-12-19T13:11:41,BBVA,58339.61,MXN,America/Tijuana,retail
CU-0152,222723.91,07-22,CO,D-0152,web,2022-02-23,2025-12-12T05:19:22,DAV,1728127.94,COP,America/Bogota,retail
CU-0153,11613.98,09-19,MX,D-0153,web,2020-07-08,2025-12-29T05:04:46,BAN,89417.18,MXN,America/Monterrey,premium
CU-0154,2432.63,08-19,US,D-0154,mobile,2021-02-17,2025-12-26T07:46:39,JPM,19201.13,USD,America/Los_Angeles,premium
CU-0155,4482364.00,06-18,CO,D-0155,web,2024-05-09,2025-12-26T01:49:05,BOG,28900641.43,COP,America/Bogota,retail
CU-0156,3871.70,10-18,PE,D-0156,web,2025-12-17,2025-12-25T10:03:33,BCP,30844.61,PEN,America/Lima,retail
CU-0157,1278264.41,11-19,AR,D-0157,mobile,2024-09-23,2025-12-19T12:10:00,GAL,8101597.56,ARS,America/Argentina/Buenos_Aires,premium
CU-0158,2389307.57,06-21,AR,D-0158,mobile,2024-03-25,2025-12-01T16:31:48,SAN,11090941.48,ARS,America/Argentina/Buenos_Aires,premium
CU-0159,180.54,11-19,ES,D-0159,mobile,2020-03-21,2025-12-26T07:47:01,BBVA,1071.56,EUR,Europe/Madrid,premium
CU-0160,214.62,09-22,ES,D-0160,mobile,2024-12-04,2025-12-15T10:47:22,BBVA,1010.05,EUR,Europe/Madrid,premium
CU-0161,875841.54,10-22,AR,D-0161,web,2022-07-16,2025-12-15T20:59:14,BNA,6811961.35,ARS,America/Argentina/Buenos_Aires,retail
CU-0162,1004.48,10-22,ES,D-0162,mobile,2022-02-14,2025-12-29T03:47:52,BBVA,3316.13,EUR,Europe/Madrid,retail
CU-0163,4476187.04,07-21,CO,D-0163,mobile,2021-02-17,2025-12-13T03:25:24,DAV,25341042.46,COP,America/Bogota,retail
CU-0164,766824.21,10-18,CO,D-0164,mobile,2024-10-24,2025-12-04T19:03:53,BOG,5595576.81,COP,America/Bogota,retail
CU-0165,2048281.57,07-20,AR,D-0165,web,2024-06-09,2025-12-26T08:14:09,GAL,6589450.16,ARS,America/Argentina/Buenos_Aires,premium
CU-0166,3758.61,23-05,PE,D-0166,mobile,2022-05-04,2025-12-18T23:18:35,IBK,28190.01,PEN,America/Lima,retail
CU-0167,2942.88,07-18,US,D-0167,web,2021-05-15,2025-12-17T02:43:33,JPM,20109.53,USD,America/Denver,premium
CU-0168,2881.29,08-21,MX,D-0168,web,2022-10-09,2025-12-14T12:56:24,BAN,8984.42,MXN,America/Monterrey,retail
CU-0169,764474.61,11-22,CL,D-0169,web,2020-01-11,2025-12-07T23:59:45,BCI,3838880.99,CLP,America/Santiago,retail
CU-0170,2384.07,10-21,ES,D-0170,mobile,2024-01-04,2025-12-03T08:07:32,CABK,14046.78,EUR,Europe/Madrid,premium
CU-0171,1374737.26,22-06,AR,D-0171,mobile,2024-12-27,2025-12-21T07:37:07,GAL,4601409.50,ARS,America/Argentina/Buenos_Aires,premium
CU-0172,21212846.55,08-19,CO,D-0172,web,2023-02-06,2025-12-17T02:33:22,DAV,98038750.33,COP,America/Bogota,business
CU-0173,321.74,09-22,ES,D-0173,web,2025-11-01,2025-12-15T22:15:41,BBVA,1869.79,EUR,Europe/Madrid,premium
CU-0174,1703779.73,06-21,AR,D-0174,mobile,2023-03-16,2025-12-30T12:22:27,SAN,11553017.95,ARS,America/Argentina/Buenos_Aires,premium
CU-0175,1191356.03,09-18,AR,D-0175,web,2024-04-06,2025-12-22T17:07:38,BNA,9096009.05,ARS,America/Argentina/Buenos_Aires,retail
CU-0176,17999.60,07-22,MX,D-0176,mobile,2023-01-23,2025-12-18T12:01:40,BBVA,124379.76,MXN,America/Tijuana,retail
CU-0177,1299654.53,08-21,CO,,mobile,2021-04-18,2025-12-23T05:34:21,BOG,7211290.72,COP,America/Bogota,retail
CU-0178,1071883.55,07-21,CL,D-0178,web,2020-10-06,2025-12-18T12:34:29,SAN,7778792.68,CLP,America/Santiago,retail
CU-0179,879635.38,09-18,AR,D-0179,web,2024-03-02,2025-12-27T01:34:17,GAL,3260271.99,ARS,America/Argentina/Buenos_Aires,retail
CU-0180,638.10,07-18,ES,D-0180,web,2020-04-14,2025-12-01T13:15:53,BBVA,4890.18,EUR,Europe/Madrid,retail
CU-0181,59783.21,11-18,MX,D-0181,web,2024-02-08,2025-12-21T01:03:24,SAN,464156.10,MXN,America/Mexico_City,business
CU-0182,848.91,09-22,ES;CL,D-0182,mobile,2021-12-06,2025-12-29T10:01:59,CABK,3064.71,EUR,Europe/Madrid,retail
CU-0183,1977719.87,07-19,CO,D-0183,web,2021-11-18,2025-12-29T23:14:08,BOG,11514691.41,COP,America/Bogota,retail
CU-0184,985057.89,09-20,CO,D-0184,web,2023-01-04,2025-12-04T06:39:16,BAN,3322747.11,COP,America/Bogota,retail
CU-0185,273530.72,09-21,CL,D-0185,mobile,2021-05-20,2025-12-30T02:06:26,SAN,1058225.52,CLP,America/Santiago,retail
CU-0186,253420.22,10-19,AR,D-0186,mobile,2025-10-22,2025-12-22T05:14:20,GAL,1250728.58,ARS,America/Argentina/Buenos_Aires,retail
CU-0187,186908.55,06-22,CL,D-0187,web,2021-02-13,2025-12-21T20:17:36,BCH,1060995.85,CLP,America/Santiago,retail
CU-0188,3435.26,08-22,ES,D-0188,mobile,2024-10-04,2025-12-02T19:47:59,BBVA,14872.12,EUR,Europe/Madrid,business
CU-0189,5787258.34,11-19,CO,D-0189,web,2021-01-09,2025-12-17T23:08:40,BAN,28776455.69,COP,America/Bogota,premium
CU-0190,553.24,07-19,US,D-0190,mobile,2023-08-21,2025-12-28T10:54:33,WFC,2364.19,USD,America/Chicago,retail
CU-0191,8391.86,10-20,PE,D-0191,web,2023-01-23,2025-12-05T07:12:07,BCP,27972.25,PEN,America/Lima,premium
CU-0192,2359184.12,23-07,CL,D-0192,mobile,2020-05-20,2025-12-21T07:57:30,SAN,7927853.46,CLP,America/Santiago,premium
CU-0193,406.94,08-21,ES,D-0193,web,2025-11-28,2025-12-05T04:29:53,BBVA,2797.01,EUR,Europe/Madrid,retail
CU-0194,145010.31,22-07,AR,D-0194,mobile,2020-09-02,2025-12-15T17:02:48,GAL,808184.21,ARS,America/Argentina/Buenos_Aires,retail
