customer_id,usual_amount_avg,usual_hours,usual_countries,usual_devices,usual_channel,account_creation_date,last_profile_update,issuer_bank,daily_limit
CU-051,153.10,06-20,ES,D-051,web,2023-04-19,2025-11-21T00:00:00,SAN,683.75
CU-052,1710.46,08-22,ES,D-052,web,2020-07-13,2025-11-10T00:00:00,BBVA,5623.64
CU-053,2792.69,10-20,CL,D-053,web,2022-11-18,2025-11-09T00:00:00,SAN,20064.97
CU-054,4347.66,11-22,US,D-054,web,2021-11-26,2025-11-05T00:00:00,JPM,14887.21
CU-055,4934.53,10-18,AR,D-055,mobile,2020-07-25,2025-11-04T00:00:00,GAL,32276.30
CU-056,2460.17,09-20,US,D-056,mobile,2022-07-03,2025-11-13T00:00:00,BAC,13145.43
CU-057,375.89,09-22,CL,D-057,web,2020-03-13,2025-11-25T00:00:00,BCI,2025.51
CU-058,506.17,06-22,AR,D-058,mobile,2023-05-16,2025-11-11T00:00:00,BNA,2158.79
CU-059,3507.51,06-19,CL,D-059,web,2020-01-21,2025-11-22T00:00:00,BCI,26326.63
CU-060,322.69,09-19,AR,D-060,mobile,2023-05-08,2025-11-04T00:00:00,GAL,1594.52
CU-061,1224.03,09-21,MX,D-061,web,2023-11-22,2025-11-17T00:00:00,BBVA,5566.45
CU-062,4087.60,09-22,MX,D-062,mobile,2022-06-18,2025-11-15T00:00:00,BBVA,20810.85
CU-063,4670.37,07-20,MX,D-063,web,2020-06-01,2025-11-15T00:00:00,BBVA,22808.66
CU-064,3772.93,06-20,CO,D-064,web,2024-01-02,2025-11-01T00:00:00,BAN,12382.29
CU-065,4337.14,06-22,CL,D-065,web,2022-05-23,2025-11-05T00:00:00,SAN,31436.62
CU-066,1312.01,11-18,AR,D-066,web,2022-04-01,2025-11-02T00:00:00,SAN,4680.97
CU-067,3390.71,07-20,CO,D-067,mobile,2023-01-22,2025-11-27T00:00:00,BAN,20173.98
CU-068,2452.23,10-22,AR,D-068,mobile,2025-11-25,2026-01-14T00:00:00,SAN,9028.76
CU-069,171.27,11-19,US,D-069,mobile,2022-03-02,2025-11-25T00:00:00,BAC,899.95
CU-070,4561.31,11-19,CO,D-070,web,2024-04-10,2025-11-17T00:00:00,DAV,31220.29
CU-071,424.56,10-19,AR,D-071,web,2021-11-11,2025-11-19T00:00:00,SAN,1547.27
CU-072,727.42,08-21,ES,D-072,mobile,2020-03-03,2025-11-29T00:00:00,BBVA,4371.56
CU-073,1196.86,10-22,US,D-073,mobile,2021-06-21,2025-11-01T00:00:00,JPM,6348.02
CU-074,1111.04,07-18,AR,D-074,mobile,2024-11-09,2025-11-25T00:00:00,SAN,6821.23
CU-075,500.62,11-20,CL,D-075,mobile,2024-01-26,2025-11-01T00:00:00,BCH,2996.91
CU-076,4932.66,11-19,ES,D-076,web,2021-10-14,2025-11-24T00:00:00,CABK,32391.53
CU-077,4486.51,11-20,CL,D-077,mobile,2024-02-26,2025-11-03T00:00:00,BCI,18898.76
CU-078,1419.29,10-21,US,D-078,web,2020-01-07,2025-11-26T00:00:00,BAC,5107.76
CU-079,4463.58,09-18,ES,D-079,mobile,2022-09-13,2025-11-15T00:00:00,CABK,29835.07
CU-080,2832.94,06-21,CO,D-080,mobile,2020-05-06,2025-11-26T00:00:00,DAV,11960.01
CU-081,2541.41,11-22,PE,D-081,web,2024-06-21,2025-11-06T00:00:00,IBK,13822.85
CU-082,4269.01,11-18,CL,D-082,web,2022-08-05,2025-11-24T00:00:00,BCI,31945.22
CU-083,2922.39,08-21,CL,D-083,mobile,2020-08-06,2025-11-25T00:00:00,SAN,16902.56
CU-084,2900.90,08-22,ES,D-084,web,2021-06-04,2025-11-20T00:00:00,SAN,19381.60
CU-085,2696.22,06-19,AR,D-085,mobile,2024-11-04,2025-01-19T00:00:00,SAN,16094.86
CU-086,1909.23,07-22,CL,D-086,mobile,2023-02-13,2025-11-02T00:00:00,BCH,7052.93
CU-087,113.28,06-20,CL,D-087,mobile,2022-01-05,2025-11-28T00:00:00,SAN,410.24
CU-088,3681.25,06-19,ES,D-088,web,2022-01-08,2025-11-22T00:00:00,SAN,13616.44
CU-089,3996.81,11-21,AR,D-089,web,2025-11-19,2025-12-25T00:00:00,BNA,16700.51
CU-090,3205.42,11-21,PE,D-090,web,2025-11-24,2026-02-20T00:00:00,BBVA,22703.98
CU-091,2251.76,11-20,MX,D-091,mobile,2020-07-15,2025-11-25T00:00:00,BBVA,16883.41
CU-092,1981.07,11-22,CO,D-092,web,2022-06-06,2025-11-07T00:00:00,BOG,9260.57
CU-093,782.43,10-18,ES,D-093,mobile,2022-04-06,2025-11-01T00:00:00,SAN,3319.42
CU-094,3745.34,11-21,AR,D-094,mobile,2021-05-27,2025-11-01T00:00:00,GAL,26615.46
CU-095,642.10,09-22,ES,D-095,mobile,2025-11-29,2025-12-27T00:00:00,SAN,3487.75
CU-096,2103.88,10-19,CO,D-096,web,2022-03-04,2025-11-26T00:00:00,BOG,12613.07
CU-097,4151.31,11-19,AR,D-097,mobile,2021-11-12,2025-11-13T00:00:00,GAL,14546.08
CU-098,1354.48,09-20,ES,D-098,mobile,2023-04-05,2025-11-08T00:00:00,CABK,5096.50
CU-099,2923.81,07-18,AR,D-099,web,2024-08-09,2025-11-11T00:00:00,SAN,10566.81
CU-100,1255.94,07-21,AR,D-100,web,2020-01-22,2025-11-19T00:00:00,SAN,6273.44
CU-101,368.33,06-19,ES,D-101,web,2025-11-19,2025-12-14T00:00:00,SAN,1315.43
CU-102,2131.07,07-20,AR,D-102,mobile,2021-11-02,2025-11-17T00:00:00,SAN,6743.20
CU-103,4572.47,11-18,CL,D-103,mobile,2024-08-01,2025-11-29T00:00:00,BCI,20063.71
CU-104,1178.48,07-22,PE,D-104,web,2020-04-09,2025-11-20T00:00:00,BBVA,8606.63
CU-105,2721.84,06-18,MX,D-105,mobile,2022-11-24,2025-11-29T00:00:00,BBVA,8662.93
CU-106,2413.13,08-19,PE,D-106,mobile,2022-02-02,2025-11-17T00:00:00,BBVA,13236.16
CU-107,3850.25,09-18,MX,D-107,web,2022-10-10,2025-11-14T00:00:00,BAN,19419.39
CU-108,224.39,09-19,CL,D-108,web,2020-09-23,2025-11-24T00:00:00,BCI,1427.00
CU-109,196.58,11-18,CL,D-109,web,2022-03-01,2025-11-15T00:00:00,SAN,1381.28
CU-110,4944.77,11-20,ES,D-110,mobile,2024-06-21,2025-11-23T00:00:00,BBVA,15155.77
CU-111,518.99,10-20,MX,D-111,web,2023-12-18,2025-11-01T00:00:00,SAN,3178.19
CU-112,1745.74,07-20,CL,D-112,web,2023-04-05,2025-11-06T00:00:00,SAN,8403.62
CU-113,4319.23,08-21,US,D-113,mobile,2023-08-17,2025-11-24T00:00:00,WFC,32276.57
CU-114,4019.29,06-19,CO,D-114,web,2020-08-02,2025-11-07T00:00:00,BAN,14858.43
CU-115,4191.16,09-19,US,D-115,web,2024-02-23,2025-11-11T00:00:00,BAC,31733.34
CU-116,676.98,09-18,AR,D-116,mobile,2020-05-25,2025-11-23T00:00:00,BNA,2068.16
CU-117,770.74,06-20,US,D-117,mobile,2024-09-21,2025-11-10T00:00:00,JPM,5542.03
CU-118,2081.47,11-19,AR,D-118,mobile,2021-12-22,2025-11-19T00:00:00,BNA,12521.63
CU-119,1302.21,10-20,CO,D-119,mobile,2023-01-27,2025-11-08T00:00:00,BOG,10087.61
CU-120,2043.58,11-22,PE,D-120,mobile,2023-04-19,2025-11-20T00:00:00,IBK,14779.25
CU-121,4780.66,08-19,PE,D-121,mobile,2021-05-09,2025-11-08T00:00:00,BCP,24209.11
CU-122,3554.14,07-18,CL,D-122,web,2022-02-05,2025-11-19T00:00:00,SAN,10755.78
CU-123,605.16,10-21,CO,D-123,web,2020-01-10,2025-11-23T00:00:00,BAN,2375.66
CU-124,2755.31,08-22,PE,D-124,web,2024-06-16,2025-11-08T00:00:00,BCP,20711.17
CU-125,3268.66,08-19,PE,D-125,web,2025-11-24,2026-01-09T00:00:00,BBVA,19420.15
CU-126,4996.83,07-22,AR,D-126,mobile,2024-07-09,2025-11-08T00:00:00,GAL,25527.87
CU-127,3997.18,11-21,CL,D-127,web,2025-11-16,2026-01-13T00:00:00,SAN,24873.38
CU-128,3285.82,08-21,ES,D-128,web,2021-03-05,2025-11-08T00:00:00,BBVA,21764.73
CU-129,420.25,06-21,MX,D-129,mobile,2020-02-01,2025-11-13T00:00:00,BAN,3102.84
CU-130,2145.78,08-19,US,D-130,mobile,2022-07-13,2025-11-18T00:00:00,WFC,7188.68
CU-131,146.48,10-18,MX,D-131,mobile,2024-12-25,2025-01-09T00:00:00,SAN,731.15
CU-132,549.33,09-22,PE,D-132,mobile,2025-11-15,2025-11-17T00:00:00,BCP,2622.01
CU-133,1507.47,09-19,AR,D-133,web,2020-01-21,2025-11-09T00:00:00,SAN,7419.21
CU-134,3430.27,09-20,US,D-134,web,2024-05-11,2025-11-07T00:00:00,WFC,26494.24
CU-135,2390.27,10-19,PE,D-135,web,2025-11-18,2025-11-21T00:00:00,IBK,11970.24
CU-136,4205.35,11-22,CO,D-136,web,2021-11-02,2025-11-26T00:00:00,BAN,16536.24
CU-137,3919.96,11-22,MX,D-137,mobile,2025-11-29,2026-02-23T00:00:00,BBVA,21917.68
CU-138,3026.64,06-22,CO,D-138,mobile,2022-02-18,2025-11-17T00:00:00,BOG,21426.09
CU-139,1199.76,10-18,PE,D-139,mobile,2024-02-11,2025-11-03T00:00:00,IBK,4376.21
CU-140,4454.87,06-19,ES,D-140,mobile,2020-08-25,2025-11-11T00:00:00,CABK,19632.41
CU-141,1337.98,11-20,MX,D-141,mobile,2021-02-06,2025-11-28T00:00:00,BBVA,9997.92
CU-142,4958.23,07-22,AR,D-142,web,2022-10-03,2025-11-08T00:00:00,GAL,28355.59
CU-143,4336.02,06-20,ES,D-143,web,2022-11-16,2025-11-13T00:00:00,CABK,18182.88
CU-144,4657.44,09-20,AR,D-144,mobile,2024-11-13,2025-01-09T00:00:00,BNA,14653.41
CU-145,4146.50,07-20,MX,D-145,mobile,2021-04-02,2025-11-13T00:00:00,BBVA,17802.76
CU-146,1046.35,10-20,PE,D-146,web,2020-08-02,2025-11-24T00:00:00,BCP,7219.01
CU-147,624.21,11-19,PE,D-147,mobile,2021-12-15,2025-11-05T00:00:00,BCP,4334.54
CU-148,951.39,09-19,ES,D-148,web,2020-12-22,2025-11-10T00:00:00,BBVA,4499.52
CU-149,3142.49,08-19,US,D-149,mobile,2024-12-04,2025-03-12T00:00:00,JPM,15454.96
CU-150,421.57,06-20,CO,D-150,mobile,2021-02-14,2025-11-29T00:00:00,BAN,1480.12
CU-151,4285.63,10-22,CO,D-151,mobile,2021-04-22,2025-11-27T00:00:00,BOG,33232.14
CU-152,840.18,09-22,MX,D-152,web,2024-11-20,2025-11-19T00:00:00,BBVA,4378.59
CU-153,1628.56,07-21,AR,D-153,web,2021-03-17,2025-11-24T00:00:00,GAL,11923.98
CU-154,2418.73,09-18,PE,D-154,web,2024-08-15,2025-11-14T00:00:00,BBVA,16459.75
CU-155,3168.48,09-22,ES,D-155,mobile,2022-04-14,2025-11-25T00:00:00,BBVA,11363.88
CU-156,713.41,09-21,ES,D-156,web,2020-12-22,2025-11-24T00:00:00,CABK,5651.46
CU-157,832.95,10-19,AR,D-157,mobile,2021-06-11,2025-11-25T00:00:00,BNA,6466.39
CU-158,4548.31,08-20,PE,D-158,web,2023-09-14,2025-11-15T00:00:00,BBVA,27702.75
CU-159,3542.08,07-19,ES,D-159,web,2021-01-01,2025-11-01T00:00:00,SAN,12017.90
CU-160,2044.92,07-19,AR,D-160,mobile,2021-02-10,2025-11-17T00:00:00,SAN,7404.86
CU-161,4491.48,06-18,CL,D-161,web,2025-11-23,2026-02-06T00:00:00,SAN,27517.16
CU-162,3938.77,08-20,ES,D-162,mobile,2023-06-26,2025-11-26T00:00:00,CABK,24490.83
CU-163,2679.37,07-20,US,D-163,mobile,2023-07-12,2025-11-25T00:00:00,JPM,16287.11
CU-164,1712.19,11-21,MX,D-164,mobile,2024-07-21,2025-11-19T00:00:00,BAN,5315.16
CU-165,3300.99,10-18,CO,D-165,web,2023-10-19,2025-11-29T00:00:00,BAN,16808.64
CU-166,1097.53,09-18,AR,D-166,web,2025-11-29,2026-01-25T00:00:00,BNA,7936.49
CU-167,3180.95,09-21,AR,D-167,mobile,2023-08-18,2025-11-19T00:00:00,BNA,16518.92
CU-168,3653.76,09-19,CL,D-168,mobile,2023-06-07,2025-11-19T00:00:00,BCI,16146.96
CU-169,1859.84,08-22,US,D-169,mobile,2024-01-03,2025-11-08T00:00:00,BAC,7250.43
CU-170,1263.96,11-19,CL,D-170,web,2024-06-13,2025-11-22T00:00:00,BCH,6606.12
CU-171,2622.61,06-21,US,D-171,web,2020-11-25,2025-11-02T00:00:00,WFC,16479.65
CU-172,1693.43,09-21,MX,D-172,web,2022-10-03,2025-11-16T00:00:00,BAN,8880.16
CU-173,3380.01,06-18,MX,D-173,mobile,2022-12-01,2025-11-22T00:00:00,BBVA,20373.66
CU-174,1847.99,09-22,PE,D-174,web,2023-08-15,2025-11-06T00:00:00,IBK,6578.10
CU-175,1421.77,07-18,CL,D-175,web,2023-10-01,2025-11-06T00:00:00,BCH,10904.09
CU-176,1649.16,06-20,AR,D-176,mobile,2021-04-21,2025-11-27T00:00:00,SAN,5090.79
CU-177,1683.34,10-18,CL,D-177,web,2025-11-22,2026-01-03T00:00:00,SAN,7934.03
CU-178,2708.00,11-22,ES,D-178,mobile,2021-10-23,2025-11-18T00:00:00,SAN,9395.42
CU-179,3395.75,11-22,CL,D-179,mobile,2021-01-23,2025-11-11T00:00:00,SAN,10484.65
CU-180,1296.32,07-18,ES,D-180,web,2020-04-01,2025-11-19T00:00:00,CABK,8159.59
CU-181,2029.94,10-18,US,D-181,mobile,2023-02-18,2025-11-06T00:00:00,WFC,16007.84
CU-182,2093.85,10-18,MX,D-182,web,2020-11-04,2025-11-29T00:00:00,BAN,9705.34
CU-183,3371.21,11-19,US,D-183,web,2020-07-19,2025-11-01T00:00:00,BAC,19291.57
CU-184,128.22,06-21,US,D-184,web,2025-11-29,2025-12-19T00:00:00,WFC,633.76
CU-185,2298.60,06-18,CO,D-185,mobile,2021-11-03,2025-11-14T00:00:00,DAV,14015.60
CU-186,2371.12,08-22,US,D-186,mobile,2021-06-21,2025-11-26T00:00:00,JPM,11620.81
CU-187,2054.23,10-21,ES,D-187,web,2022-07-06,2025-11-18T00:00:00,CABK,11516.36
CU-188,4129.73,08-22,ES,D-188,web,2020-04-11,2025-11-15T00:00:00,SAN,22283.68
CU-189,1053.34,11-22,ES,D-189,mobile,2024-04-14,2025-11-29T00:00:00,CABK,5963.27
CU-190,2946.57,07-21,AR,D-190,mobile,2021-01-13,2025-11-26T00:00:00,BNA,16537.34
CU-191,703.79,09-19,CL,D-191,web,2020-10-10,2025-11-04T00:00:00,SAN,4947.62
CU-192,2796.11,10-19,CL,D-192,web,2024-07-22,2025-11-22T00:00:00,BCH,19485.31
CU-193,3268.37,07-18,MX,D-193,mobile,2020-10-27,2025-11-04T00:00:00,BAN,21766.66
CU-194,4270.75,07-18,US,D-194,web,2023-10-01,2025-11-18T00:00:00,JPM,16399.98
CU-195,3710.68,07-18,CL,D-195,web,2020-06-16,2025-11-15T00:00:00,BCI,22395.70
CU-196,2778.82,07-18,AR,D-196,web,2024-09-25,2025-11-03T00:00:00,SAN,17994.87
CU-197,2081.16,11-22,CL,D-197,web,2020-11-07,2025-11-28T00:00:00,SAN,7326.82
CU-198,3649.26,07-22,AR,D-198,mobile,2025-11-22,2026-02-26T00:00:00,SAN,18267.98
CU-199,1898.08,11-18,CL,D-199,mobile,2024-01-02,2025-11-05T00:00:00,BCI,11769.69
CU-200,1428.62,07-20,AR,D-200,mobile,2024-10-03,2025-11-06T00:00:00,GAL,11387.10
CU-201,3343.01,06-20,US,D-201,web,2023-08-22,2025-11-26T00:00:00,JPM,12959.23
CU-202,3481.02,06-19,AR,D-202,mobile,2020-07-16,2025-11-17T00:00:00,SAN,26580.68
CU-203,1249.75,09-20,AR,D-203,web,2023-08-24,2025-11-25T00:00:00,GAL,7004.59
CU-204,3155.57,07-18,MX,D-204,mobile,2023-06-20,2025-11-29T00:00:00,BAN,11322.96
CU-205,1214.05,10-19,PE,D-205,web,2021-11-25,2025-11-01T00:00:00,IBK,8651.84
CU-206,1470.55,07-21,US,D-206,web,2022-06-11,2025-11-22T00:00:00,JPM,7286.89
CU-207,2555.65,06-19,AR,D-207,mobile,2024-03-24,2025-11-14T00:00:00,GAL,9472.24
CU-208,1138.71,11-18,CL,D-208,web,2025-11-17,2026-01-21T00:00:00,BCI,7372.87
CU-209,1795.89,09-19,US,D-209,web,2021-09-22,2025-11-04T00:00:00,WFC,9761.22
CU-210,3070.64,11-22,ES,D-210,web,2022-09-06,2025-11-13T00:00:00,SAN,11081.35
CU-211,2443.35,09-18,CL,D-211,mobile,2024-12-12,2025-01-12T00:00:00,BCH,18770.42
CU-212,4392.92,10-21,CL,D-212,mobile,2024-11-02,2025-11-23T00:00:00,BCI,21667.22
CU-213,2865.76,07-19,PE,D-213,mobile,2022-02-24,2025-11-09T00:00:00,IBK,12024.44
CU-214,797.02,06-21,AR,D-214,mobile,2022-07-16,2025-11-28T00:00:00,BNA,4421.16
CU-215,4983.81,06-22,CL,D-215,mobile,2023-04-04,2025-11-07T00:00:00,SAN,18208.61
CU-216,4444.36,11-22,CO,D-216,web,2022-12-22,2025-11-07T00:00:00,BAN,21934.67
CU-217,4822.73,07-20,MX,D-217,mobile,2024-10-23,2025-11-24T00:00:00,SAN,29393.29
CU-218,1685.15,07-19,MX,D-218,web,2024-02-05,2025-11-04T00:00:00,BBVA,5980.06
CU-219,2785.00,10-21,CL,D-219,web,2021-04-02,2025-11-16T00:00:00,SAN,14983.55
CU-220,1941.85,09-22,AR,D-220,mobile,2024-10-13,2025-11-17T00:00:00,BNA,14979.73
CU-221,4063.53,10-18,US,D-221,mobile,2021-12-08,2025-11-28T00:00:00,WFC,22257.01
CU-222,1993.11,11-18,CL,D-222,web,2023-07-24,2025-11-19T00:00:00,BCH,13328.26
CU-223,2609.89,10-22,PE,D-223,web,2022-01-13,2025-11-24T00:00:00,IBK,7987.68
CU-224,4786.86,10-19,CL,D-224,mobile,2023-11-20,2025-11-19T00:00:00,BCI,33121.31
CU-225,1838.72,07-22,MX,D-225,mobile,2025-11-20,2026-02-23T00:00:00,BAN,5708.72
CU-226,502.64,09-18,CL,D-226,mobile,2020-09-02,2025-11-18T00:00:00,BCI,1812.99
CU-227,3113.56,11-18,PE,D-227,web,2021-07-18,2025-11-21T00:00:00,IBK,24596.66
CU-228,3049.22,10-21,US,D-228,web,2021-01-08,2025-11-23T00:00:00,JPM,14821.76
CU-229,2217.18,09-19,PE,D-229,mobile,2023-04-21,2025-11-19T00:00:00,BBVA,6792.50
CU-230,4962.84,07-18,ES,D-230,web,2021-05-13,2025-11-08T00:00:00,BBVA,32965.43
CU-231,3904.59,09-20,AR,D-231,mobile,2025-11-25,2026-02-21T00:00:00,GAL,22247.50
CU-232,3666.94,07-22,MX,D-232,web,2023-11-18,2025-11-15T00:00:00,SAN,13763.42
CU-233,1777.68,11-20,MX,D-233,web,2020-08-03,2025-11-22T00:00:00,SAN,6680.25
CU-234,559.41,09-18,MX,D-234,web,2021-10-16,2025-11-01T00:00:00,BBVA,4143.69
CU-235,1461.72,08-19,US,D-235,web,2020-10-21,2025-11-07T00:00:00,WFC,5759.36
CU-236,1841.38,10-18,ES,D-236,mobile,2021-10-26,2025-11-12T00:00:00,SAN,5625.71
CU-237,3772.77,10-18,ES,D-237,web,2022-07-06,2025-11-19T00:00:00,SAN,13670.90
CU-238,1988.34,09-21,US,D-238,mobile,2022-10-05,2025-11-22T00:00:00,WFC,5997.02
CU-239,3135.99,09-21,PE,D-239,web,2023-01-23,2025-11-04T00:00:00,BCP,19479.60
CU-240,417.78,07-21,ES,D-240,mobile,2021-02-19,2025-11-28T00:00:00,CABK,2294.15
CU-241,477.59,11-22,ES,D-241,mobile,2021-06-21,2025-11-04T00:00:00,CABK,2483.94
CU-242,822.52,06-18,US,D-242,web,2023-01-27,2025-11-27T00:00:00,WFC,6573.36
CU-243,4672.26,10-18,PE,D-243,mobile,2023-04-16,2025-11-27T00:00:00,IBK,23592.69
CU-244,4215.03,08-18,US,D-244,mobile,2024-09-20,2025-11-10T00:00:00,BAC,16128.69
CU-245,3531.23,11-22,AR,D-245,web,2022-03-21,2025-11-10T00:00:00,SAN,18179.78
CU-246,4376.38,10-22,ES,D-246,web,2024-10-05,2025-01-12T00:00:00,BBVA,26940.35
CU-247,344.23,07-20,PE,D-247,mobile,2020-04-06,2025-11-22T00:00:00,BBVA,2082.98
CU-248,763.24,09-18,ES,D-248,web,2023-10-22,2025-11-07T00:00:00,CABK,3341.51
CU-249,3956.92,07-19,PE,D-249,web,2023-09-13,2025-11-24T00:00:00,IBK,13110.33
CU-250,4541.54,06-22,ES,D-250,mobile,2020-11-07,2025-11-15T00:00:00,BBVA,30256.85
CU-251,2786.77,10-19,US,D-251,mobile,2020-05-26,2025-11-18T00:00:00,JPM,17475.48
CU-252,1070.68,06-20,CO,D-252,web,2024-12-25,2025-02-23T00:00:00,BAN,3330.00
CU-253,3628.04,07-18,CL,D-253,mobile,2025-11-21,2025-12-23T00:00:00,BCH,28670.89
CU-254,1214.31,09-19,CO,D-254,web,2020-01-02,2025-11-14T00:00:00,DAV,8785.04
CU-255,2200.29,10-19,AR,D-255,mobile,2020-02-10,2025-11-16T00:00:00,SAN,13762.52
CU-256,2772.62,11-21,CO,D-256,mobile,2022-03-17,2025-11-07T00:00:00,BAN,10601.20
CU-257,1718.05,11-21,AR,D-257,web,2025-11-22,2026-02-14T00:00:00,SAN,12709.98
CU-258,4365.83,08-22,PE,D-258,mobile,2021-12-26,2025-11-02T00:00:00,BCP,15152.75
CU-259,1783.95,09-18,US,D-259,mobile,2022-06-07,2025-11-23T00:00:00,JPM,8896.39
CU-260,557.70,10-20,CO,D-260,mobile,2023-10-08,2025-11-28T00:00:00,BAN,3283.72
CU-261,3209.45,06-19,US,D-261,mobile,2023-06-12,2025-11-07T00:00:00,WFC,15455.12
CU-262,4496.21,08-18,ES,D-262,web,2024-12-16,2025-11-06T00:00:00,BBVA,15364.99
